t;Consommation totale;DJU_ch;DJU_ac
2012-01;51086;336;0
2012-02;54476;435.9;0
2012-03;43156;201.9;0
2012-04;40176;230.3;0
2012-05;35257;83.3;30.1
2012-06;33219;35;25.6
2012-07;34141;12.4;60.4
2012-08;32247;2.4;117.9
2012-09;33269;58;20.4
2012-10;38628;154.6;1.4
2012-11;44260;296.2;0
2012-12;49602;345.9;0
2013-01;53619;429.2;0
2013-02;49639;402.2;0
2013-03;49480;376.6;0
2013-04;40292;209.5;3.8
2013-05;36821;158.4;0
2013-06;32973;43.6;29.9
2013-07;34751;0.6;152.1
2013-08;31591;5;89.2
2013-09;33195;41.5;27.1
2013-10;37063;105;4.3
2013-11;45310;303.9;0
2013-12;50108;349.5;0
2014-01;49359;324.4;0
2014-02;44580;281.9;0
2014-03;43104;223.9;0
2014-04;36331;135.5;0
2014-05;34695;100.2;2.2
2014-06;32608;19.1;41.3
2014-07;33935;8.3;101.1
2014-08;31004;19.3;35.7
2014-09;33266;16;45.8
2014-10;36301;92.3;7.1
2014-11;40617;222.6;0
2014-12;49350;368.2;0
2015-01;52536;392;0
2015-02;48676;365.7;0
2015-03;45739;275.5;0
2015-04;36898;141.1;2.3
2015-05;33927;91.5;2.8
2015-06;33256;15.8;64.8
2015-07;34912;6.9;139.1
2015-08;31603;6.1;122.4
2015-09;33521;71.9;1
2015-10;39170;176.9;0
2015-11;41085;195;0.3
2015-12;44727;248.1;0
2016-01;50161;364.4;0
2016-02;46440;321.6;0
2016-03;47270;321.1;0
2016-04;39102;212.1;0
2016-05;34746;88.1;8.5
2016-06;32852;27.5;37
2016-07;33718;5.7;105.6
2016-08;32132;3.2;121.4
2016-09;33245;11.7;59.1
2016-10;38590;176;0
2016-11;44293;285.6;0
2016-12;50670;390.8;0
2017-01;57406;467.9;0
2017-02;43869;278.4;0
2017-03;42723;206.1;0
2017-04;36650;182.6;0
2017-05;35037;75;47.2
2017-06;33374;9.4;111.9
2017-07;33877;1;108.3
2017-08;32110;6.8;80.5
2017-09;33633;62.6;8.5
2017-10;36615;99.4;2.7
2017-11;44960;282.6;0
2017-12;51754;369;0
2018-01;48723;303.4;0
2018-02;50202;432.6;0
2018-03;48493;314.3;0
2018-04;36276;119.7;16.1
2018-05;33994;55.9;42.9
2018-06;32614;8.1;74.6
2018-07;34602;0;198.7
2018-08;32451;3.3;126.3
2018-09;32683;34.3;33.2
2018-10;37102;122.4;17
2018-11;43738;282.5;0
2018-12;47553;325.9;0
2019-01;54117;404.9;0
2019-02;44311;268.3;0
2019-03;43145;233.1;0
2019-04;37927;168.5;5.7
2019-05;35611;117.9;3.2
2019-06;32598;24.4;100.1
2019-07;34629;0;152.3
2019-08;31564;1.7;115.6
2019-09;32213;26.7;22.6
2019-10;36367;133.7;4
2019-11;43945;282.6;0
2019-12;46974;327.3;0
2020-01;49676;339;0
2020-02;43358;249.6;0
2020-03;41486;268.6;0
2020-04;30658;81.4;11.5
2020-05;30622;65.7;28.6
2020-06;30763;20.6;57.5
2020-07;32970;0.9;96.6
2020-08;31428;4.5;157
2020-09;32307;34.3;72.3
2020-10;38332;157.5;0
2020-11;39840;227.2;0
2020-12;47565;336.8;0
2021-01;52983;396.7;0
2021-02;43024;302.8;0
2021-03;43913;271;0.2
2021-04;37747;228.3;0.9
2021-05;35007;138.3;5.1
2021-06;32032;1.4;47.6
;;;
